case_id,description_complete
1980-11-00821,"[Forme] nan | [Forme 2]  Termes descriptifs (lumières, forme, etc.) | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] nan | [Forme 2]  Termes descriptifs (lumières, forme, etc.) | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Objet | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Objet | [Couleur] Bleu | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 2 axes de symétrie - Ovoïde | [Forme 2]  Objet; Phénomène | [Couleur] Multicolore | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] nan | [Forme 2]  Termes descriptifs (lumières, forme, etc.) | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] Autre forme non catégorisée | [Forme 2]  Phénomène | [Couleur] Rouge | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] Autre forme non catégorisée | [Forme 2]  Phénomène | [Couleur] Rouge | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] Autre forme non catégorisée | [Forme 2]  Objet | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] Chiffrée | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] Autre forme non catégorisée | [Forme 2]  Objet | [Couleur] Bleu | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] nan | [Forme 2]  Objet | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 2D - Rectangulaire | [Forme 2]  Termes descriptifs (lumières, forme, etc.) | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] nan | [Forme 2]  Objet | [Couleur] Vert;Jaune, Ambre | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] nan | [Forme 2]  Termes descriptifs (lumières, forme, etc.) | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 1 axe de symétrie - Cylindrique | [Forme 2]  Objet | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 2 axes de symétrie - Ovoïde | [Forme 2]  Objet | [Couleur] Bleu | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] nan | [Forme 2]  Termes descriptifs (lumières, forme, etc.) | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Objet; Engin | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] ""2.2 < x < 6° ou """"Grande"""""" | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] Autre forme non catégorisée | [Forme 2]  Objet | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 1 axe de symétrie - Conique | [Forme 2]  Objet | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 1 axe de symétrie - Conique | [Forme 2]  Objet | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] Autre forme non catégorisée | [Forme 2]  Objet | [Couleur] Vert;Orangé, feu | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] Autre forme non catégorisée | [Forme 2]  Objet | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Objet | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] Autre forme non catégorisée | [Forme 2]  Objet | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] Chiffrée | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Objet | [Couleur] Vert;Blanc | [Couleur 2] nan | [Luminosité] nan | [Taille] ""0.3 < x < 0.8° (~lune, ~balle) ou """"Moyenne"""""" | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Objet | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] Chiffrée | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 1 axe de symétrie - Cylindrique | [Forme 2]  Objet | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Chiffrée | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Objet | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Chiffrée | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Objet | [Couleur] Multicolore | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
1980-11-00821,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Objet | [Couleur] Vert | [Couleur 2] nan | [Luminosité] nan | [Taille] ""2.2 < x < 6° ou """"Grande"""""" | [Détails visuels] ""Le 11 novembre 1980 vers 18h30 une centaine de personnes sur tout le Sud-Est de la France et en Corse observent le passage d'un puissant phénomène lumineux dans le ciel Les multiples témoins décrivent un phénomène lumineux très puissant ayant traversé le ciel en moins d'une minute (pour la plupart) se dirigeant vers le Sud ou Sud-Ouest On peut constater une grande variabilité dans les éléments décrits, autant sur la couleur du phénomène (vert, rouge, jaune, violet, blanc, rosé, bleuté …) que sur la forme (boule, cigare, soucoupe, triangle et même parallélépipède), la distance estimée (30m à 2 km), sur la direction de déplacement (majorité de Nord vers Sud, ou Est vers Ouest, voir l'inverse pour certains témoins) et sur la durée d'observation (majoritairement inférieure à 1mn, quelques cas de plus de 2mn)"
