case_id,description_complete
1954-09-09112,"[Forme] nan | [Forme 2] nan | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 27 septembre 1954 à 20h30 trois enfants (de 12, 9 et 8 ans) observent à proximité de leur maison un engin étrange de couleur aluminium de forme rectangulaire fendu partiellement en son milieu dans le sens de la hauteur L'engin porte de chaque côté à sa base deux supports coudés extérieurement"
1954-10-00012,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2] nan | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] Sa forme est celle d'un disque incliné sur son axe de 30 à 40° dont l'arête arrière présente une lueur phosphorescente Le témoin interprète ce qu'il voit comme un disque incliné de 30-40° « sur son axe » mais de quel axe s'agit-il On peut imaginer un disque dont l'avant est plus bas que l'arrière (ou inversement) ou bien dont le bord gauche est plus bas que le droit (ou inversement)"
1954-10-00013,"[Forme] 3D - 2 axes de symétrie - Ovoïde | [Forme 2]  Engin | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Chiffrée | [Détails visuels] Aux dires de l'enfant, l'engin de forme ovale pouvait mesurer 2 m de large et 2,5-3 m de haut, avec une forme conique au-dessus, et repose au sol sur un socle rectangulaire Quand elle s'approche de l'engin, une trappe (1 x 0,6 m) se lève Un homme saute à terre et referme la trappe derrière lui puis reste immobile"
1954-10-00013,"[Forme] nan | [Forme 2]  Engin | [Couleur] Rouge | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] Aux dires de l'enfant, l'engin de forme ovale pouvait mesurer 2 m de large et 2,5-3 m de haut, avec une forme conique au-dessus, et repose au sol sur un socle rectangulaire Quand elle s'approche de l'engin, une trappe (1 x 0,6 m) se lève Un homme saute à terre et referme la trappe derrière lui puis reste immobile"
1954-10-00014,"[Forme] Autre forme non catégorisée | [Forme 2]  Objet | [Couleur] Rouge | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] Le 06 octobre 1954 vers 20h plusieurs membres d'une famille observent depuis chez eux et durant environ 40 minutes un disque lumineux de couleur rouge orange d'un diamètre apparent de la moitié de la pleine Lune supportant une espèce de nacelle"
1954-10-00015,"[Forme] 3D - 2 axes de symétrie - Ovoïde | [Forme 2]  Engin | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] Le 7 octobre 1954 à 9h deux personnes aperçoivent à la verticale du clocher de l'église un engin de forme ovale couleur aluminium très brillant Ce type d'observation peut avoir diverses origines (reflet de soleil sur un avion, ballon, bolide…)"
1954-10-00016,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Engin | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] Le 8 octobre 1954 à 23h30 quatre témoins observent un engin lumineux en forme de cercle dans le ciel Ce type d'observation peut avoir diverses origines (reflet de soleil sur un avion, ballon, bolide…)"
1954-10-00017,"[Forme] Autre forme non catégorisée | [Forme 2] nan | [Couleur] Orangé, feu | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] Le 9 octobre 1954 vers 20h trois agriculteurs observent durant 45 min dans le ciel un disque orange en forme d'assiette retournée"
1954-10-00024,[Forme] nan | [Forme 2]  Phénomène | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] nan
1954-10-00024,[Forme] nan | [Forme 2]  Phénomène | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] nan
1954-10-00025,"[Forme] nan | [Forme 2]  Engin; Phénomène | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] Sur place, les gendarmes constatent que l'herbe est aplatie sur une surface de 1,6 sur 1,3 m et qu'une clôture située à 3,5 m de cet emplacement est arrachée sur une longueur de 25 m (4 piquets sont détériorés dont 2 cassés au niveau du sol)"
1954-10-00025,"[Forme] nan | [Forme 2]  Phénomène | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Chiffrée | [Détails visuels] Sur place, les gendarmes constatent que l'herbe est aplatie sur une surface de 1,6 sur 1,3 m et qu'une clôture située à 3,5 m de cet emplacement est arrachée sur une longueur de 25 m (4 piquets sont détériorés dont 2 cassés au niveau du sol)"
